transaction_id,amount,location,method,device_id,timestamp,is_fraud,location_enc,method_enc,fraud_pred
1,718.1,UK,Debit Card,9509,2025-09-16 20:23:02.131786,0,5,2,0
2,448.34,India,UPI,9082,2025-09-30 20:23:02.131786,0,1,3,0
3,414.69,Japan,Credit Card,3548,2025-10-04 18:20:02.131786,0,2,0,0
4,414.69,UK,Debit Card,9524,2025-10-15 08:33:02.131786,0,5,2,0
5,1394.91,UK,Wire,2176,2025-09-27 08:59:02.131786,0,5,4,0
6,860.01,USA,Debit Card,7099,2025-09-25 23:01:02.131786,0,6,2,0
7,339.32,India,Crypto,3600,2025-09-17 22:09:02.131786,0,1,1,0
8,740.94,UK,Credit Card,4094,2025-09-21 09:41:02.131786,0,5,0,0
9,599.69,Japan,Crypto,3263,2025-10-05 11:16:02.131786,0,2,1,0
10,64.77,Japan,UPI,2066,2025-09-22 00:36:02.131786,0,2,3,0
11,201.37,Germany,Wire,6744,2025-09-21 10:25:02.131786,0,0,4,0
12,631.85,Japan,Credit Card,3790,2025-09-19 07:50:02.131786,0,2,0,0
13,1309.55,UK,Wire,8079,2025-09-23 00:25:02.131786,0,5,4,0
14,417.56,UK,Credit Card,2673,2025-10-03 08:18:02.131786,0,5,0,0
15,317.41,Japan,Crypto,3363,2025-10-10 07:00:02.131786,0,2,1,0
16,544.2,USA,UPI,4723,2025-09-08 19:34:02.131786,0,6,3,0
17,301.59,India,Debit Card,4501,2025-09-20 00:58:02.131786,0,1,2,0
18,395.32,UK,Wire,3814,2025-09-27 01:49:02.131786,0,5,4,0
19,494.79,Japan,Credit Card,7642,2025-09-26 14:44:02.131786,0,2,0,0
20,192.04,Japan,Credit Card,1348,2025-09-18 17:28:02.131786,0,2,0,0
21,891.02,UK,Wire,3122,2025-09-09 13:40:02.131786,0,5,4,0
22,160.55,Germany,Debit Card,5133,2025-09-10 22:05:02.131786,0,0,2,0
23,141.84,India,UPI,1211,2025-09-26 02:51:02.131786,0,1,3,0
24,580.19,UK,Credit Card,4529,2025-09-11 03:23:02.131786,0,5,0,0
25,844.01,Japan,Credit Card,8737,2025-10-18 09:33:02.131786,0,2,0,0
26,569.35,Germany,Wire,7349,2025-10-12 06:10:02.131786,0,0,4,0
27,456.53,UK,Wire,5100,2025-10-03 21:54:02.131786,0,5,4,0
28,392.21,India,Credit Card,1147,2025-09-29 13:06:02.131786,0,1,0,0
29,341.97,Germany,Credit Card,2709,2025-09-11 18:59:02.131786,0,0,0,0
30,1031.34,Japan,Credit Card,4022,2025-09-28 14:58:02.131786,0,2,0,0
31,636.31,USA,Crypto,4990,2025-09-07 22:30:02.131786,0,6,1,0
32,365.2,India,Credit Card,8854,2025-10-05 02:17:02.131786,0,1,0,0
33,280.98,Germany,UPI,4836,2025-09-18 02:39:02.131786,0,0,3,0
34,776.29,UK,UPI,9183,2025-09-16 04:41:02.131786,0,5,3,0
35,1015.03,UK,Debit Card,5523,2025-10-05 20:04:02.131786,0,5,2,0
36,954.36,Germany,Wire,1368,2025-10-04 03:24:02.131786,0,0,4,0
37,240.31,UK,Debit Card,8144,2025-09-11 06:43:02.131786,0,5,2,0
38,389.55,Germany,Credit Card,2470,2025-09-08 03:38:02.131786,0,0,0,0
39,336.43,India,Wire,3597,2025-10-12 03:39:02.131786,0,1,4,0
40,431.49,Russia,Credit Card,9990,2025-09-21 13:28:02.131786,1,4,0,0
41,885.33,India,Wire,2894,2025-09-22 14:19:02.131786,0,1,4,0
42,1230.68,Japan,Crypto,3524,2025-09-24 06:43:02.131786,0,2,1,0
43,653.55,Japan,Crypto,2088,2025-09-28 01:25:02.131786,0,2,1,0
44,289.45,Japan,Crypto,6705,2025-09-16 17:36:02.131786,0,2,1,0
45,486.25,Japan,Debit Card,2326,2025-09-15 14:52:02.131786,0,2,2,0
46,1383.76,UK,Wire,8484,2025-09-08 10:10:02.131786,0,5,4,0
47,534.48,Germany,Debit Card,5269,2025-09-18 08:27:02.131786,0,0,2,0
48,392.91,UK,Wire,8582,2025-09-14 05:38:02.131786,0,5,4,0
49,419.66,UK,Credit Card,4356,2025-09-09 10:46:02.131786,0,5,0,0
50,651.45,India,Crypto,7216,2025-09-22 20:44:02.131786,0,1,1,0
51,247.69,Germany,Crypto,2102,2025-10-14 02:29:02.131786,0,0,1,0
52,329.76,USA,Wire,2067,2025-09-26 19:35:02.131786,0,6,4,0
53,944.93,USA,Debit Card,1744,2025-09-29 16:52:02.131786,0,6,2,0
54,638.44,Germany,Debit Card,4074,2025-09-30 02:51:02.131786,0,0,2,0
55,538.55,USA,UPI,3490,2025-09-15 11:48:02.131786,0,6,3,0
56,976.8,Germany,Crypto,8544,2025-10-05 20:02:02.131786,0,0,1,0
57,274.41,India,Crypto,4764,2025-09-10 00:40:02.131786,0,1,1,0
58,383.53,India,Debit Card,7021,2025-09-23 21:46:02.131786,0,1,2,0
59,623.68,UK,Crypto,3862,2025-09-07 23:03:02.131786,0,5,1,0
60,608.07,USA,Debit Card,6955,2025-10-04 12:35:02.131786,0,6,2,0
61,127.75,Germany,UPI,7868,2025-09-20 03:10:02.131786,0,0,3,0
62,354.14,India,Wire,3560,2025-10-17 09:51:02.131786,0,1,4,0
63,440.1,UK,Wire,5791,2025-09-14 03:33:02.131786,0,5,4,0
64,673.38,USA,UPI,4834,2025-10-06 22:52:02.131786,0,6,3,0
65,606.53,USA,Crypto,3774,2025-09-10 20:48:02.131786,0,6,1,0
66,471.72,USA,Credit Card,9268,2025-09-10 04:08:02.131786,0,6,0,0
67,64.23,India,Crypto,4114,2025-09-24 01:55:02.131786,0,1,1,0
68,489.8,India,Debit Card,6704,2025-09-17 08:50:02.131786,0,1,2,0
69,523.69,USA,Credit Card,2012,2025-09-22 02:39:02.131786,0,6,0,0
70,2189.4,Nigeria,UPI,9992,2025-09-20 09:48:02.131786,1,3,3,1
71,429.14,USA,Wire,5357,2025-09-07 15:04:02.131786,0,6,4,0
72,626.12,Japan,Wire,4556,2025-10-02 14:24:02.131786,0,2,4,0
73,1086.06,India,Crypto,3325,2025-09-18 03:57:02.131786,0,1,1,0
74,851.42,Germany,Wire,7957,2025-09-26 11:39:02.131786,0,0,4,0
75,1263.84,India,Crypto,4988,2025-09-30 06:59:02.131786,0,1,1,0
76,129.87,USA,Debit Card,3354,2025-09-20 12:29:02.131786,0,6,2,0
77,206.12,Germany,Debit Card,7693,2025-09-07 19:45:02.131786,0,0,2,0
78,311.18,UK,UPI,3394,2025-10-16 18:59:02.131786,0,5,3,0
79,107.8,Germany,Debit Card,6542,2025-10-06 02:01:02.131786,0,0,2,0
80,527.03,Germany,Crypto,5521,2025-10-06 23:45:02.131786,0,0,1,0
81,221.75,India,Wire,1041,2025-09-28 12:18:02.131786,0,1,4,0
82,1372.56,Germany,Debit Card,2848,2025-09-28 11:06:02.131786,0,0,2,0
83,253.86,Germany,Debit Card,5191,2025-10-07 20:44:02.131786,0,0,2,0
84,385.35,USA,Crypto,8430,2025-09-14 19:59:02.131786,0,6,1,0
85,885.89,India,Debit Card,3866,2025-10-13 11:14:02.131786,0,1,2,0
86,158.74,USA,Wire,7893,2025-09-08 07:57:02.131786,0,6,4,0
87,100.07,India,Wire,9396,2025-10-10 01:15:02.131786,0,1,4,0
88,574.97,UK,Wire,4334,2025-09-15 01:51:02.131786,0,5,4,0
89,607.56,Germany,Wire,4659,2025-10-18 12:26:02.131786,0,0,4,0
90,868.04,India,Credit Card,8079,2025-09-13 01:36:02.131786,0,1,0,0
91,730.61,Germany,Wire,1654,2025-10-06 02:38:02.131786,0,0,4,0
92,624.07,Germany,Credit Card,3362,2025-09-30 16:57:02.131786,0,0,0,0
93,280.16,Japan,Wire,9075,2025-10-02 11:50:02.131786,0,2,4,0
94,5512.695692965043,USA,Wire,9994,2025-10-16 01:27:02.131786,1,6,4,1
95,622.31,India,Crypto,6452,2025-09-09 23:41:02.131786,0,1,1,0
96,271.23,UK,Wire,5839,2025-10-15 15:01:02.131786,0,5,4,0
97,1626.62,Japan,Debit Card,8593,2025-09-12 11:18:02.131786,0,2,2,0
98,706.88,USA,Wire,1284,2025-09-28 10:11:02.131786,0,6,4,0
99,209.54,UK,UPI,1511,2025-09-19 08:50:02.131786,0,5,3,0
100,870.98,UK,Crypto,5124,2025-09-26 18:16:02.131786,0,5,1,0
101,973.62,Germany,Crypto,4078,2025-10-16 16:12:02.131786,0,0,1,0
102,677.51,USA,Wire,5637,2025-10-13 00:55:02.131786,0,6,4,0
103,410.86,Japan,UPI,9406,2025-10-08 00:56:02.131786,0,2,3,0
104,261.21,India,Wire,6119,2025-09-13 11:22:02.131786,0,1,4,0
105,470.73,India,Debit Card,4331,2025-09-18 14:42:02.131786,0,1,2,0
106,644.11,Japan,Crypto,3308,2025-10-06 15:34:02.131786,0,2,1,0
107,505.05,Germany,Crypto,2837,2025-09-10 14:04:02.131786,0,0,1,0
